,Date_reported, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,Month,Week number,Month number
0,2020-01-30,5,5,0,0,January,1,1
1,2020-01-31,0,5,0,0,January,1,1
2,2020-02-01,0,5,0,0,February,1,2
3,2020-02-02,1,6,0,0,February,1,2
4,2020-02-03,1,7,0,0,February,1,2
5,2020-02-04,0,7,0,0,February,1,2
6,2020-02-05,0,7,0,0,February,1,2
7,2020-02-06,0,7,0,0,February,2,2
8,2020-02-07,0,7,0,0,February,2,2
9,2020-02-08,0,7,0,0,February,2,2
10,2020-02-09,0,7,0,0,February,2,2
11,2020-02-10,0,7,0,0,February,2,2
12,2020-02-11,0,7,0,0,February,2,2
13,2020-02-12,0,7,0,0,February,2,2
14,2020-02-13,0,7,0,0,February,3,2
15,2020-02-14,0,7,0,0,February,3,2
16,2020-02-15,0,7,0,0,February,3,2
17,2020-02-16,0,7,0,0,February,3,2
18,2020-02-17,0,7,0,0,February,3,2
19,2020-02-18,0,7,0,0,February,3,2
20,2020-02-19,0,7,0,0,February,3,2
21,2020-02-20,0,7,0,0,February,4,2
22,2020-02-21,0,7,0,0,February,4,2
23,2020-02-22,0,7,0,0,February,4,2
24,2020-02-23,0,7,0,0,February,4,2
25,2020-02-24,0,7,0,0,February,4,2
26,2020-02-25,0,7,0,0,February,4,2
27,2020-02-26,0,7,0,0,February,4,2
28,2020-02-27,0,7,0,0,February,5,2
29,2020-02-28,0,7,0,0,February,5,2
30,2020-02-29,0,7,0,0,February,5,2
31,2020-03-01,0,7,0,0,March,5,3
32,2020-03-02,2,9,0,0,March,5,3
33,2020-03-03,0,9,0,0,March,5,3
34,2020-03-04,22,31,0,0,March,5,3
35,2020-03-05,2,33,0,0,March,6,3
36,2020-03-06,2,35,0,0,March,6,3
37,2020-03-07,3,38,0,0,March,6,3
38,2020-03-08,5,43,0,0,March,6,3
39,2020-03-09,5,48,0,0,March,6,3
40,2020-03-10,6,54,0,0,March,6,3
41,2020-03-11,10,64,0,0,March,6,3
42,2020-03-12,14,78,0,0,March,7,3
43,2020-03-13,7,85,1,1,March,7,3
44,2020-03-14,3,88,1,2,March,7,3
45,2020-03-15,23,111,0,2,March,7,3
46,2020-03-16,7,118,0,2,March,7,3
47,2020-03-17,23,141,1,3,March,7,3
48,2020-03-18,14,155,0,3,March,7,3
49,2020-03-19,40,195,1,4,March,8,3
50,2020-03-20,0,195,0,4,March,8,3
51,2020-03-21,88,283,0,4,March,8,3
52,2020-03-22,58,341,1,5,March,8,3
53,2020-03-23,93,434,4,9,March,8,3
54,2020-03-24,85,519,0,9,March,8,3
55,2020-03-25,87,606,1,10,March,8,3
56,2020-03-26,43,649,3,13,March,9,3
57,2020-03-27,75,724,4,17,March,9,3
58,2020-03-28,0,724,0,17,March,9,3
59,2020-03-29,255,979,8,25,March,9,3
60,2020-03-30,92,1071,4,29,March,9,3
61,2020-03-31,180,1251,3,32,March,9,3
62,2020-04-01,385,1636,6,38,April,9,4
63,2020-04-02,329,1965,12,50,April,10,4
64,2020-04-03,336,2301,6,56,April,10,4
65,2020-04-04,601,2902,12,68,April,10,4
66,2020-04-05,472,3374,9,77,April,10,4
67,2020-04-06,693,4067,32,109,April,10,4
68,2020-04-07,354,4421,5,114,April,10,4
69,2020-04-08,853,5274,35,149,April,10,4
70,2020-04-09,591,5865,20,169,April,11,4
71,2020-04-10,547,6412,30,199,April,11,4
72,2020-04-11,1035,7447,40,239,April,11,4
73,2020-04-12,909,8356,34,273,April,11,4
74,2020-04-13,796,9152,35,308,April,11,4
75,2020-04-14,1211,10363,31,339,April,11,4
76,2020-04-15,1076,11439,38,377,April,11,4
77,2020-04-16,941,12380,37,414,April,12,4
78,2020-04-17,1007,13387,23,437,April,12,4
79,2020-04-18,991,14378,43,480,April,12,4
80,2020-04-19,1334,15712,27,507,April,12,4
81,2020-04-20,1553,17265,36,543,April,12,4
82,2020-04-21,1336,18601,47,590,April,12,4
83,2020-04-22,1383,19984,50,640,April,12,4
84,2020-04-23,1409,21393,41,681,April,13,4
85,2020-04-24,1684,23077,37,718,April,13,4
86,2020-04-25,1429,24506,57,775,April,13,4
87,2020-04-26,1990,26496,49,824,April,13,4
88,2020-04-27,1396,27892,48,872,April,13,4
89,2020-04-28,1543,29435,62,934,April,13,4
90,2020-04-29,1897,31332,73,1007,April,13,4
91,2020-04-30,1718,33050,67,1074,April,14,4
92,2020-05-01,1993,35043,73,1147,May,14,5
93,2020-05-02,2293,37336,71,1218,May,14,5
94,2020-05-03,2644,39980,83,1301,May,14,5
95,2020-05-04,2553,42533,72,1373,May,14,5
96,2020-05-05,3900,46433,195,1568,May,14,5
97,2020-05-06,2958,49391,126,1694,May,14,5
98,2020-05-07,3561,52952,89,1783,May,15,5
99,2020-05-08,3390,56342,103,1886,May,15,5
100,2020-05-09,3320,59662,95,1981,May,15,5
101,2020-05-10,3277,62939,128,2109,May,15,5
102,2020-05-11,4213,67152,97,2206,May,15,5
103,2020-05-12,3604,70756,87,2293,May,15,5
104,2020-05-13,3525,74281,122,2415,May,15,5
105,2020-05-14,3722,78003,134,2549,May,16,5
106,2020-05-15,3967,81970,100,2649,May,16,5
107,2020-05-16,3970,85940,103,2752,May,16,5
108,2020-05-17,4987,90927,120,2872,May,16,5
109,2020-05-18,5242,96169,157,3029,May,16,5
110,2020-05-19,4970,101139,134,3163,May,16,5
111,2020-05-20,5611,106750,140,3303,May,16,5
112,2020-05-21,5609,112359,132,3435,May,17,5
113,2020-05-22,6088,118447,148,3583,May,17,5
114,2020-05-23,6654,125101,137,3720,May,17,5
115,2020-05-24,6767,131868,147,3867,May,17,5
116,2020-05-25,6977,138845,154,4021,May,17,5
117,2020-05-26,6535,145380,146,4167,May,17,5
118,2020-05-27,6387,151767,170,4337,May,17,5
119,2020-05-28,6566,158333,194,4531,May,18,5
120,2020-05-29,7466,165799,175,4706,May,18,5
121,2020-05-30,7964,173763,265,4971,May,18,5
122,2020-05-31,8380,182143,193,5164,May,18,5
123,2020-06-01,8392,190535,230,5394,June,18,6
124,2020-06-02,8171,198706,204,5598,June,18,6
125,2020-06-03,8909,207615,217,5815,June,18,6
126,2020-06-04,9304,216919,260,6075,June,19,6
127,2020-06-05,9851,226770,273,6348,June,19,6
128,2020-06-06,9887,236657,294,6642,June,19,6
129,2020-06-07,9971,246628,287,6929,June,19,6
130,2020-06-08,9983,256611,206,7135,June,19,6
131,2020-06-09,9987,266598,331,7466,June,19,6
132,2020-06-10,9985,276583,279,7745,June,19,6
133,2020-06-11,9996,286579,357,8102,June,20,6
134,2020-06-12,10956,297535,396,8498,June,20,6
135,2020-06-13,11458,308993,386,8884,June,20,6
136,2020-06-14,11929,320922,311,9195,June,20,6
137,2020-06-15,11502,332424,325,9520,June,20,6
138,2020-06-16,10667,343091,380,9900,June,20,6
139,2020-06-17,10974,354065,2003,11903,June,20,6
140,2020-06-18,12881,366946,334,12237,June,21,6
141,2020-06-19,13586,380532,336,12573,June,21,6
142,2020-06-20,14516,395048,375,12948,June,21,6
143,2020-06-21,15413,410461,306,13254,June,21,6
144,2020-06-22,14821,425282,445,13699,June,21,6
145,2020-06-23,14933,440215,312,14011,June,21,6
146,2020-06-24,15968,456183,465,14476,June,21,6
147,2020-06-25,16922,473105,418,14894,June,22,6
148,2020-06-26,17296,490401,407,15301,June,22,6
149,2020-06-27,18552,508953,384,15685,June,22,6
150,2020-06-28,19906,528859,410,16095,June,22,6
151,2020-06-29,19459,548318,380,16475,June,22,6
152,2020-06-30,18522,566840,418,16893,June,22,6
153,2020-07-01,18653,585493,507,17400,July,22,7
154,2020-07-02,19148,604641,434,17834,July,23,7
155,2020-07-03,20903,625544,379,18213,July,23,7
156,2020-07-04,22771,648315,442,18655,July,23,7
157,2020-07-05,24850,673165,613,19268,July,23,7
158,2020-07-06,24248,697413,425,19693,July,23,7
159,2020-07-07,22252,719665,467,20160,July,23,7
160,2020-07-08,22752,742417,482,20642,July,23,7
161,2020-07-09,24879,767296,487,21129,July,24,7
162,2020-07-10,26506,793802,475,21604,July,24,7
163,2020-07-11,27114,820916,519,22123,July,24,7
164,2020-07-12,28637,849553,551,22674,July,24,7
165,2020-07-13,28701,878254,500,23174,July,24,7
166,2020-07-14,28498,906752,553,23727,July,24,7
167,2020-07-15,29429,936181,582,24309,July,24,7
168,2020-07-16,32695,968876,606,24915,July,25,7
169,2020-07-17,34956,1003832,687,25602,July,25,7
170,2020-07-18,34884,1038716,671,26273,July,25,7
171,2020-07-19,38902,1077618,543,26816,July,25,7
172,2020-07-20,40425,1118043,681,27497,July,25,7
173,2020-07-21,37148,1155191,587,28084,July,25,7
174,2020-07-22,37724,1192915,648,28732,July,25,7
175,2020-07-23,45720,1238635,1129,29861,July,26,7
176,2020-07-24,49310,1287945,740,30601,July,26,7
177,2020-07-25,48916,1336861,757,31358,July,26,7
178,2020-07-26,48661,1385522,705,32063,July,26,7
179,2020-07-27,49931,1435453,708,32771,July,26,7
180,2020-07-28,47703,1483156,654,33425,July,26,7
181,2020-07-29,48513,1531669,768,34193,July,26,7
182,2020-07-30,52123,1583792,775,34968,July,27,7
183,2020-07-31,55078,1638870,779,35747,July,27,7
184,2020-08-01,57118,1695988,764,36511,August,27,8
185,2020-08-02,54735,1750723,853,37364,August,27,8
186,2020-08-03,52972,1803695,771,38135,August,27,8
187,2020-08-04,52050,1855745,803,38938,August,27,8
188,2020-08-05,52509,1908254,857,39795,August,27,8
189,2020-08-06,56282,1964536,904,40699,August,28,8
190,2020-08-07,62538,2027074,886,41585,August,28,8
191,2020-08-08,61537,2088611,933,42518,August,28,8
192,2020-08-09,64399,2153010,861,43379,August,28,8
193,2020-08-10,62064,2215074,1007,44386,August,28,8
194,2020-08-11,53601,2268675,871,45257,August,28,8
195,2020-08-12,60963,2329638,834,46091,August,28,8
196,2020-08-13,66999,2396637,942,47033,August,29,8
197,2020-08-14,64553,2461190,1007,48040,August,29,8
198,2020-08-15,65002,2526192,996,49036,August,29,8
199,2020-08-16,63490,2589682,944,49980,August,29,8
200,2020-08-17,57981,2647663,941,50921,August,29,8
201,2020-08-18,55079,2702742,876,51797,August,29,8
202,2020-08-19,64531,2767273,1092,52889,August,29,8
203,2020-08-20,69652,2836925,977,53866,August,30,8
204,2020-08-21,68898,2905823,983,54849,August,30,8
205,2020-08-22,69878,2975701,945,55794,August,30,8
206,2020-08-23,69239,3044940,912,56706,August,30,8
207,2020-08-24,61408,3106348,836,57542,August,30,8
208,2020-08-25,60975,3167323,848,58390,August,30,8
209,2020-08-26,67151,3234474,1059,59449,August,30,8
210,2020-08-27,75760,3310234,1023,60472,August,31,8
211,2020-08-28,77266,3387500,1057,61529,August,31,8
212,2020-08-29,76472,3463972,1021,62550,August,31,8
213,2020-08-30,78761,3542733,948,63498,August,31,8
214,2020-08-31,78512,3621245,971,64469,August,31,8
215,2020-09-01,69921,3691166,819,65288,September,31,9
216,2020-09-02,78357,3769523,1045,66333,September,31,9
217,2020-09-03,83883,3853406,1043,67376,September,32,9
218,2020-09-04,83341,3936747,1096,68472,September,32,9
219,2020-09-05,86432,4023179,1089,69561,September,32,9
220,2020-09-06,90632,4113811,1065,70626,September,32,9
221,2020-09-07,90802,4204613,1016,71642,September,32,9
222,2020-09-08,75809,4280422,1133,72775,September,32,9
223,2020-09-09,89706,4370128,1115,73890,September,32,9
224,2020-09-10,95735,4465863,1172,75062,September,33,9
225,2020-09-11,96551,4562414,1209,76271,September,33,9
226,2020-09-12,97570,4659984,1201,77472,September,33,9
227,2020-09-13,94372,4754356,1114,78586,September,33,9
228,2020-09-14,92071,4846427,1136,79722,September,33,9
229,2020-09-15,83809,4930236,1054,80776,September,33,9
230,2020-09-16,90123,5020359,1290,82066,September,33,9
231,2020-09-17,97894,5118253,1132,83198,September,34,9
232,2020-09-18,96424,5214677,1174,84372,September,34,9
